11,粤自然资发〔2021〕3号,粤自然资发〔2021〕3号,240,240,中山市人民政府关于启动中山市民众街道保税园片区（0905单元）控制性详细规划一般修改的批复; 中山市人民政府关于启动中山市沙溪镇象龙片区（1102单元）05、06街区控制性详细规划一般修改的批复; 中山市人民政府关于启动中山火炬开发区（民众街道）沙仔片区（0901单元）控制性详细规划一般修改的批复,unknown,unknown,truly-missing,droplet-now
12,中山市控制性详细规划管理实施细则（试行）,,236,225,中山市人民政府关于启动中山市民众街道保税园片区（0905单元）控制性详细规划一般修改的批复; 中山市人民政府关于启动中山市沙溪镇象龙片区（1102单元）05、06街区控制性详细规划一般修改的批复; 中山市人民政府关于启动中山火炬开发区（民众街道）沙仔片区（0901单元）控制性详细规划一般修改的批复,unknown,rules,truly-missing,droplet-now
13,关于进一步优化新冠肺炎疫情防控措施科学精准做好防控工作的通知,,220,220,深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第178号）; 深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第231号）; 深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第232号）,unknown,notice,truly-missing,targeted-fetch
14,中山市人民政府办公室关于加强城市总体规划实施管理的通知,,191,191,中山市人民政府关于中山市中心城区康华路中段片区控制性详细规划（2018）启动调整的批复; 中山市人民政府关于中山市旧城区员峰山片区控制性详细规划启动调整的批复; 中山市人民政府关于中山翠亨新区起步区G单元、H单元一元路街区控制性详细规划调整（2020）启动调整的批复,unknown,plan,truly-missing,droplet-now
15,中府办〔2013〕41号,中府办〔2013〕41号,188,188,中山市人民政府关于中山市中心城区康华路中段片区控制性详细规划（2018）启动调整的批复; 中山市人民政府关于中山市旧城区员峰山片区控制性详细规划启动调整的批复; 中山市人民政府关于中山火炬开发区中心片区03单元控制性详细规划启动调整的批复,unknown,unknown,truly-missing,droplet-now
16,惠府令第86号,,182,182,惠州市人民政府关于仲恺高新区潼湖生态智慧区创新小镇建设工程项目用地土地征收的预公告; 惠州市人民政府关于大湖溪沥水环境综合整治工程项目用地土地征收的预公告; 惠州市人民政府关于惠城区金山污水管网二期工程项目用地土地征收的预公告,unknown,unknown,truly-missing,residential
17,新型冠状病毒肺炎防控方案（第九版）,,180,178,深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第98号）; 深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第178号）; 交通运输部关于印发《国内游轮常态化疫情防控工作指南（第五版）》的通知,unknown,plan,truly-missing,targeted-fetch
18,粤国土资利用发〔2011〕21号,粤国土资利用发〔2011〕21号,170,170,阳江市人民政府征收土地和补偿安置方案公告（阳府告〔2013〕15号）; 阳江市人民政府征收土地和补偿安置方案公告（阳府告〔2013〕16号）; 惠州市人民政府关于金榜路、红花湖路及交叉路口拓宽改造工程征地的预公告,unknown,unknown,truly-missing,droplet-now
19,深圳市财政局政府采购供应商信用信息管理办法,,166,166,深圳市教育局关于深圳市教育发展基金会“特区班主任（高校辅导员）纪念证书和徽章设计与制作采购项目”招标公告; 深圳市机械制造行业工伤预防培训项目的采购公告; 深圳市建筑工程质量安全监督总站关于《深基坑和高边坡监测数据信息监管项目》招标的公告,municipal,measures,unverified,
20,广东省突发事件总体应急预案,,163,163,揭阳市人民政府办公室关于印发揭阳市大气重污染应急预案的通知; 云浮市人民政府办公室关于印发云浮市突发事件医疗卫生救援应急预案（修订版）的通知（云府办函〔2022〕77号）; 广东省人民政府关于印发广东省突发事件应急管理专家组工作规则的通知,provincial,unknown,truly-missing,droplet-now
21,公务员录用体检通用标准（试行）,,165,156,广东省2023年考试录用公务员（罗湖区职位）体检有关事项公告; 深圳市大鹏新区南澳办事处2023年5月公开招聘编外人员公告; 广东省2023年考试录用公务员深圳市交通运输局职位体检公告,unknown,standard,truly-missing,droplet-now
22,十五五规划纲要,,149,149,向新而行，以远见超越未见（评论员观察）; 促进团结奋斗  汇聚磅礴力量; 脑机接口热得发烫 创始人：投资人见我5000元/小时,unknown,plan,unverified,
23,广东省自然资源厅印发关于加强和改进控制性详细规划管理若干指导意见（暂行）的通知（粤自然资发〔2021〕3号）,粤自然资发〔2021〕3号,148,148,中山市人民政府关于启动中山市民众街道保税园片区（0905单元）控制性详细规划一般修改的批复; 中山市人民政府关于启动中山火炬开发区（民众街道）沙仔片区（0901单元）控制性详细规划一般修改的批复; 中山市人民政府关于启动中山市南朗街道南朗站片区（1911单元）08、09街区控制性详细规划一般修改的批复,provincial,plan,truly-missing,droplet-now
24,中山市城市总体规划（2010-2020）,,158,146,中山市人民政府关于《中山市东区岐关西片区C、D街区控制性详细规划》调整成果的批复; 中山市人民政府关于中山市小榄镇泰丰工业区（第一期）控制性详细规划1Q-C20地块建筑高度调整的批复; 中山市人民政府关于《中山市小榄镇N-02街区控制性详细规划》调整成果的批复,unknown,plan,truly-missing,droplet-now
25,粤国土资发〔2006〕149号,粤国土资发〔2006〕149号,138,138,关于惠城区环湖二路北段道路及排水工程建设项目征地的预公告; 关于惠城区环湖一路东北段道路及排水工程建设项目征地的预公告; 关于惠州大堤东堤（蓬陵至万年段）水利防洪加固工程建设用地征地的预公告,unknown,unknown,truly-missing,droplet-now
26,新型冠状病毒肺炎防控方案(第九版),,136,136,深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第231号）; 深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第232号）; 深圳市龙华区新型冠状病毒肺炎疫情防控指挥部办公室通告（第373号）,unknown,plan,truly-missing,targeted-fetch
27,中山市城乡规划技术标准与准则,,132,131,中山市人民政府关于中山市中心城区康华路中段片区控制性详细规划（2018）启动调整的批复; 中山市人民政府关于中山市旧城区员峰山片区控制性详细规划启动调整的批复; 中山市人民政府关于中山翠亨新区起步区G单元、H单元一元路街区控制性详细规划调整（2020）启动调整的批复,unknown,plan,truly-missing,droplet-now
28,苏住建规〔2011〕4号,苏住建规〔2011〕4号,130,130,苏州市人民政府关于对保障房三号地块项目房屋征收补偿方案（征求意见稿）公开征求意见的通知; 苏州市人民政府关于对平江新城新建江宇路（梅巷路）南段项目房屋征收补偿方案（征求意见稿）公开征求意见的通知; 苏州市人民政府关于对“两河一江”：——胥江、运河城区段环境综合整治工程（桥浜路区域）项目房屋征收补偿方案（征求意见稿）公开征求意见的通知,unknown,unknown,truly-missing,droplet-now
29,事业单位公开招聘违纪违规行为处理规定,,134,128,河北省2026年就业援藏事业单位面向西藏籍未就业高校毕业生专项招聘公告; 科学技术部新质生产力促进中心2025年度高层次专业技术人才公开招聘笔试公告; 深圳市罗湖区公共体育促进中心2023年6月公开招聘体育教练员公告,unknown,provisions,truly-missing,droplet-now
30,《地名标志》（GB17733-2008）,,126,126,市政府关于同意命名翡翠河滨雅苑的复函; 市政府关于同意命名苏悦汇商业广场的复函; 市政府关于同意命名北新村巷的复函,unknown,unknown,truly-missing,hard-standard
31,财库〔2022〕4号,财库〔2022〕4号,123,123,财政部第二次续发行2026年记账式附息（三期）国债; 财政部发行2026年记账式贴现（二十四期）国债; 财政部第一次续发行2026年记账式附息（三期）国债,unknown,unknown,truly-missing,droplet-now
32,惠州市加强建设项目征地拆迁管理规定（惠府令第86号）,,118,118,惠州市人民政府关于东江大桥北桥头便道完善工程建设项目用地征地的预公告; 惠州市人民政府关于湖山农场片区城市建设项目以及市政配套道路项目用地土地征收的预公告; 惠州市人民政府关于仲恺高新区潼湖生态智慧区建设项目用地土地征收的预公告,unknown,provisions,truly-missing,residential
33,广东省征地补偿保护标准（粤国土资发〔2006〕149号）,粤国土资发〔2006〕149号,118,118,关于惠城区环湖二路北段道路及排水工程建设项目征地的预公告; 关于惠城区环湖一路东北段道路及排水工程建设项目征地的预公告; 关于惠州大堤东堤（蓬陵至万年段）水利防洪加固工程建设用地征地的预公告,provincial,standard,truly-missing,droplet-now
34,苏住建规〔2012〕8号,苏住建规〔2012〕8号,118,118,苏州市人民政府关于对保障房三号地块项目房屋征收补偿方案（征求意见稿）公开征求意见的通知; 苏州市人民政府关于对平江新城新建江宇路（梅巷路）南段项目房屋征收补偿方案（征求意见稿）公开征求意见的通知; 苏州市人民政府关于对“两河一江”：——胥江、运河城区段环境综合整治工程（桥浜路区域）项目房屋征收补偿方案（征求意见稿）公开征求意见的通知,unknown,unknown,truly-missing,droplet-now
35,深圳市行政听证办法,,130,109,深圳市应急管理局关于举行《深圳市应急管理局公平竞争审查举报处理机制》听证会的公告; 深圳市消防救援支队关于举行战勤保障中心建设项目社会稳定风险评估听证会的公告暨参会人员名单公示; 深圳市住房和建设局关于召开《深圳市业主大会和业主委员会指导规则（修订征求意见稿）》听证会的公告,municipal,measures,truly-missing,droplet-now
36,中华人民共和国治安管理处罚条例,,109,107,上海市生食水产品卫生管理办法; 上海市城市电网建设和供电用电管理暂行规定（已废止）; 重庆市人民政府关于改革乡镇执法监管强化公共服务试点工作的决定,unknown,regulation,unverified,
37,国家中长期科学和技术发展规划纲要（2006-2020年）,,108,106,“十四五”时期我国产业结构变动特征及趋势展望; 发展绿色建筑，建设“美丽中国”; 市政府印发关于加快上海创业投资发展若干意见的通知,central,plan,unverified,
38,深财规〔2023〕3号,深财规〔2023〕3号,105,105,深圳市教育局关于深圳市教育发展基金会“特区班主任（高校辅导员）纪念证书和徽章设计与制作采购项目”招标公告; 深圳市机械制造行业工伤预防培训项目的采购公告; 深圳市教育局关于公开遴选深圳市第四十五、四十六高级中学项目建议书编制服务单位的招标公告,unknown,unknown,truly-missing,droplet-now
39,山东省政府信息公开办法,,124,100,聊城市; ·2012年; ·2011年,provincial,measures,truly-missing,hard-no-crawler
40,律师事务所年度检查考核办法,,102,100,深圳市司法局关于对广东华协等4家律师事务所限期接受年度检查考核的公告; 2022年度律师事务所年度检查考核结果公示（第十批）; 2023年度律师事务所年度检查考核结果公示（第二十二批）,unknown,measures,truly-missing,targeted-fetch
41,粤国土资规字〔2016〕1号,粤国土资规字〔2016〕1号,100,100,惠州市人民政府关于仲恺高新区潼湖生态智慧区创新小镇建设工程项目用地土地征收的预公告; 惠州市人民政府关于大湖溪沥水环境综合整治工程项目用地土地征收的预公告; 惠州市人民政府关于新能源产业园项目用地土地征收的预公告,unknown,unknown,truly-missing,droplet-now
42,关于印发广东省征地补偿保护标准（2010年修订调整）的通知,,99,99,阳江市人民政府征收土地和补偿安置方案公告（阳府告〔2013〕15号）; 阳江市人民政府征收土地和补偿安置方案公告（阳府告〔2013〕16号）; 阳江市人民政府征收土地和补偿安置方案公告(阳府告〔2015〕14号),provincial,standard,truly-missing,droplet-now
43,法治政府建设实施纲要（2021—2025年）,,120,97,大浪街道2021年法治政府建设年度报告; 深圳市龙华区民政局2021年法治政府建设年度报告; 福建省人民政府关于2025年度法治政府建设情况的报告,unknown,plan,truly-missing,droplet-now
44,中山市城市、镇控制性详细规划管理办法,,100,93,中山市人民政府关于东升镇DS0901单元控制性详细规划DS09010204地块规划条件论证报告的批复; 中山市人民政府关于中山市阜沙镇工业用地规划条件论证报告的批复; 中山市人民政府关于中山市东凤镇穗成片区控制性详细规划110KV和泰变电站规划条件论证报告的批复,unknown,measures,truly-missing,droplet-now
45,中小企业划型标准规定,,94,92,中国银保监会关于印发商业银行小微企业金融服务监管评价办法（试行）的通知; 云浮市人民政府办公室关于印发云浮市中小微企业信贷风险补偿资金管理办法的通知（云府办〔2020〕7号）; 中国人民银行关于做好小微企业银行账户优化服务和风险防控工作的指导意见,unknown,provisions,truly-missing,droplet-now
46,广东省律师执业年度考核管理办法（试行）,,92,92,2022年度律师事务所年度检查考核结果公示（第十批）; 2023年度律师事务所年度检查考核结果公示（第二十二批）; 2021年度律师事务所年度检查考核结果公示（第二十六批）,provincial,measures,unverified,
47,律师执业年度考核规则,,92,92,2022年度律师事务所年度检查考核结果公示（第十批）; 2023年度律师事务所年度检查考核结果公示（第二十二批）; 2021年度律师事务所年度检查考核结果公示（第二十六批）,unknown,unknown,unverified,
48,国家税务总局公告2018年第31号,,91,91,国家税务总局关于修订《增值税专用发票使用规定》的通知; 国家税务总局关于发布《融资租赁货物出口退税管理办法》的公告; 国家税务总局关于公布已取消税务行政许可事项的公告,central,announcement,truly-missing,droplet-now
49,深圳市城市规划标准与准则,,97,89,深圳市人民政府办公厅关于印发深圳市教育发展“十二五”规划的通知; 深圳市人民政府办公厅印发关于规范已出让未建用地土地用途变更和容积率调整处置办法的通知; 坪山区城市更新和土地整备局关于区二届人大二次会议第2-20220186号代表建议答复的函,municipal,plan,truly-missing,droplet-now
50,公务员录用体检特殊标准（试行）,,93,88,广东省2024年考试录用公务员深圳市司法局职位体检和心理素质测评公告; 广东省2023年考试录用公务员（罗湖区职位）体检有关事项公告; 深圳市2024年服务高质量发展专项招录紧缺专业公务员深圳市人力资源和社会保障局职位体检通知,unknown,standard,truly-missing,droplet-now
51,中共中央 国务院关于支持深圳建设中国特色社会主义先行示范区的意见,,102,86,《深圳经济特区健康条例》解读; 深圳市罗湖区人民政府关于印发《深圳市罗湖区产业转型升级专项资金管理办法及相关实施细则》的通知; 《深圳市人民政府办公厅印发关于加快体育产业创新发展若干措施的通知》政策解读,central,opinion,unverified,
52,粮食流通管理条例,,89,84,中共深圳市发展和改革委员会党组关于涉粮问题专项巡察整改进展情况的通报; 市政府办公室关于印发苏州市粮食应急预案的通知; 重庆市人民政府关于进一步实施区县扩权推进城乡统筹发展的决定,unknown,regulation,unverified,
53,自然灾害救助条例,,93,81,阳江市人民政府办公室关于印发《阳江市突发地质灾害应急预案》《阳江市地震应急预案》《阳江市自然灾害救助应急预案》的通知; 《救灾物资储备标准指引》政策解读; 市政府办公室印发关于支持引导社会力量参与减灾救灾工作意见的通知,unknown,regulation,unverified,
54,广东省公务员录用体检工作实施细则（试行）,,87,81,广东省2024年考试录用公务员深圳市司法局职位体检和心理素质测评公告; 广东省2023年考试录用公务员深圳市交通运输局职位体检公告; 深圳市2024年服务高质量发展专项招录紧缺专业公务员深圳市人力资源和社会保障局职位体检通知,provincial,rules,truly-missing,droplet-now
55,生活饮用水卫生标准,,80,80,2010年广州市政府工作报告; 上海市生活饮用水二次供水卫生管理办法; 《救灾物资储备标准指引》政策解读,unknown,standard,unverified,
56,《机动车登记规定》,,80,79,深圳市公安局交通管理支队车辆管理所关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 深圳市公安局交通警察支队车辆管理所关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告,unknown,provisions,unverified,
57,阳江市人民政府关于印发〈阳江市市辖区征收土地青苗及附着物补偿规定〉的通知,,79,79,阳江市人民政府征收土地和补偿安置方案公告(阳府告〔2015〕14号); 阳江市人民政府征收土地和补偿安置方案公告(阳府告〔2015〕16号 ); 阳江市人民政府征收土地和补偿安置方案公告(阳府告〔2015〕20号),unknown,provisions,unverified,
58,征收土地公告办法,,128,78,韶关市人民政府关于韶关市曲江区2021年度第八批次城镇建设用地征收土地的公告（韶府便笺）; 韶关市人民政府关于韶关市浈江区2022年度第十批次城镇建设用地征收土地的公告（韶府便笺）; 韶关市人民政府关于韶关市浈江区2021年度第七批次城镇建设用地征收土地的公告（韶府便笺）,unknown,measures,truly-missing,targeted-fetch
59,惠州市加强建设项目征地拆迁管理规定（惠府令第67号）,,78,78,惠州市人民政府关于收回广东隆生企业投资有限公司国有农用地土地使用权的公告; 惠州市人民政府关于岭南（惠州）养生文化创意产业园建设项目用地征收的预公告; 惠州市人民政府关于东江高新科技产业园建设项目用地征收的预公告,unknown,provisions,truly-missing,residential
60,国家突发公共事件总体应急预案,,77,77,阳江市人民政府办公室关于印发阳江市突发环境事件应急预案的通知; 广州市人民政府办公厅关于印发广州港口突发事件应急预案的通知; 广州市人民政府办公厅关于印发广州市城市轨道交通运营突发事件应急预案的通知,central,unknown,truly-missing,droplet-now
61,《深圳市财政局政府采购供应商信用信息管理办法》（深财规〔2023〕3号）,深财规〔2023〕3号,77,77,深圳市机械制造行业工伤预防培训项目的采购公告; 深圳市应急管理局2026年度全市隐患排查治理和安全生产执法技术咨询服务项目邀请竞标公告; 深圳市教育局关于公开遴选深圳市第四十五、四十六高级中学项目建议书编制服务单位的招标公告,municipal,measures,truly-missing,droplet-now
62,苏住建规〔2012〕9号,苏住建规〔2012〕9号,77,77,苏州市人民政府关于对保障房三号地块项目房屋征收补偿方案（征求意见稿）公开征求意见的通知; 苏州市人民政府关于对平江新城新建江宇路（梅巷路）南段项目房屋征收补偿方案（征求意见稿）公开征求意见的通知; 苏州市人民政府关于对“两河一江”：——胥江、运河城区段环境综合整治工程（桥浜路区域）项目房屋征收补偿方案（征求意见稿）公开征求意见的通知,unknown,unknown,truly-missing,droplet-now
63,知识产权强国建设纲要（2021—2035年）,,81,76,国家知识产权局办公室关于推进知识产权公共服务标准化规范化便利化的意见; 国家知识产权局关于印发《知识产权人才“十四五”规划》的通知; 国家知识产权局关于印发知识产权公共服务“十四五”规划的通知,unknown,plan,unverified,
64,国务院办公厅关于印发〈政府信息公开信息处理费管理办法〉的通知,,76,76,大鹏新区管理委员会2023年政府信息公开年度报告; 深圳市科技创新委员会2021年政府信息公开工作年度报告; 深圳市司法局2023年政府信息公开工作年度报告,central,measures,unverified,
65,中共中央关于全面深化改革若干重大问题的决定,,77,75,广东省人民政府关于公布省直部门权责清单（第二批）的决定; 产融结合的现实意义及动机; 阳江市人民政府关于公布市直部门权责清单（第一批）的决定(阳府〔2015〕29号),central,decision,truly-missing,droplet-now
66,深圳市教育局机关政府采购管理办法,,93,73,深圳市教育局关于遴选局长信箱运营服务合作单位的招标公告; 关于遴选2025年鹏城教育名家深化培养项目承办单位的招标公告; 深圳市教育局关于遴选深圳市教育局赴英国法国开展访问交流活动采购项目的公告,municipal,measures,unverified,
67,公务员录用体检操作手册（试行）,,73,73,广东省2024年考试录用公务员大鹏新区职位考生体检有关事项公告; 广东省2023年考试录用公务员（罗湖区职位）体检有关事项公告; 广东省2026年考试录用公务员深圳市审计局职位体检公告,unknown,unknown,truly-missing,droplet-now
68,关于加强城市设计和建筑特色管理的若干指引（试行）,,103,72,中山市人民政府关于中山市三角镇控制性详细规划整合-C片区C16-01局部地块建筑高度及建筑密度调整的批复; 中山市人民政府关于中山市小榄镇D分区控制性详细规划D04-1/01及D04-2/01局部地块建筑高度及建筑密度调整的批复; 中山市人民政府关于中山市南朗镇南朗工业区扩区控制性详细规划A-01局部地块建筑高度调整成果的批复,unknown,standard,unverified,
69,政府采购投标及履约承诺函,,72,72,深圳市民政局关于2025年深圳市银发产业统计监测项目的采购公告; 葵涌办事处老干中心2号办公楼加固工程招标公告; 葵涌河口码头建设工程（珊瑚礁调查）招标公告,unknown,unknown,unverified,
70,深圳市住房和建设局政府采购管理办法,,78,71,深圳市住房和建设局关于《深圳市新屋围余泥渣土受纳场土壤自行监测》项目招标的公告; 浙江省经济和信息化厅 浙江省人力资源和社会保障厅关于公布余飚等35人具有正高级工艺美术师职务任职资格的通知; 《深圳市住房和建设局2025年度建设工程消防产品检测服务项目》直接委托公示,municipal,measures,unverified,
71,深圳市科技创新委员会关于创新型产业用房管理的实施细则,,76,70,深圳市科技创新局关于发布软件大厦2025年第2批创新型产业用房租赁的公告; 关于软件大厦2026年第4批创新型产业用房拟入驻名单的公示; 关于深圳市高新技术企业联合总部大厦2026年第4批创新型产业用房拟入驻名单的公示,municipal,rules,unverified,
72,深圳市安居型商品房轮候与配售办法,,76,69,关于重新发布《龙岗区人才住房管理实施细则》的政策解读; 深圳市住房保障署关于安居型商品房轮候申请人梁聪信息公示的通告; 深圳市住房保障署关于安居型商品房轮候申请人谢兰花信息公示的通告,municipal,measures,unverified,
73,江门市国土空间总体规划（2021-2035年）,,92,66,江门市人民政府关于江门市蓬江区大西坑南侧地段东北地块（PJ04-D04-01）控制性详细规划的批复; 江门市人民政府关于江门市潮连岛PJ06-F地段控制性详细规划局部调整的批复; 江门市人民政府关于江门市珠西枢纽新城控制性详细规划（D、E、J管理单元）XH02-E-05-a地块局部调整的批复,unknown,plan,unverified,
74,兽药注册办法,,66,66,中华人民共和国农业农村部公告 第344号; 中华人民共和国农业农村部公告第124号; 农业农村部办公厅关于印发《兽药注册现场核查工作规范》的通知,unknown,measures,unverified,
75,财库〔2022〕3号,财库〔2022〕3号,65,65,档案整理及数字化加工服务采购项目竞争性磋商公告; 深圳市民政局关于2025年深圳市银发产业统计监测项目的采购公告; 深圳市民政局关于老年友好社区创建项目的采购公告,unknown,unknown,truly-missing,droplet-now
76,《机动车登记规定》第三十七条,,63,63,关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 关于对达到强制报废标准机动车登记证书、号牌、行驶证予以作废的公告; 关于通知机动车所有人及时办理注销登记或申领检验合格标志的公告,unknown,provisions,unverified,
77,粤司规〔2019〕3号,粤司规〔2019〕3号,61,61,2021年度律师事务所年度检查考核结果公示（第五批）; 2023年度律师事务所年度检查考核结果公示（第十批）; 2022年度律师事务所年度检查考核结果公示（第十批）,unknown,unknown,unverified,
78,广东省司法厅关于律师事务所年度检查考核的实施细则（2019年修订）,,61,61,2021年度律师事务所年度检查考核结果公示（第五批）; 2023年度律师事务所年度检查考核结果公示（第十批）; 2022年度律师事务所年度检查考核结果公示（第十批）,provincial,rules,truly-missing,targeted-fetch
79,国家税务总局公告2016年第34号,,61,61,国家税务总局关于印发《调整和完善消费税政策征收管理规定》的通知; 国家税务总局关于广信深圳公司破产案件有关法律问题的批复; 国家税务总局关于规范未达增值税营业税起征点的个体工商户税收征收管理的通知,central,announcement,truly-missing,droplet-now
80,惠州市加强建设项目征地拆迁管理规定（惠府令第39号）,,60,60,关于火车西站三孔桥排涝抢险工程征地的预公告; 关于惠州市鹿江变电站建设项目用地征地的预公告; 关于惠州市金山水质净化中心主干管建设工程用地征地的预公告,unknown,provisions,truly-missing,residential
81,国人防〔2013〕227号,国人防〔2013〕227号,60,60,福建省人民防空办公室关于核准福建华诚工程管理有限公司具有人防工程丙级监理资质的通知; 福建省人民防空办公室关于核准福建致昇建设发展有限公司具有人防工程丙级监理资质的通知; 福建省人民防空办公室关于核准福建中路港通建设发展有限公司具有人防工程丙级监理资质的通知,unknown,unknown,unverified,
82,人防工程监理行政许可资质管理办法,,60,60,福建省人民防空办公室关于核准福建华诚工程管理有限公司具有人防工程丙级监理资质的通知; 福建省人民防空办公室关于核准福建致昇建设发展有限公司具有人防工程丙级监理资质的通知; 福建省人民防空办公室关于核准福建中路港通建设发展有限公司具有人防工程丙级监理资质的通知,unknown,measures,unverified,
83,深圳市科技计划项目实施过程与验收管理办法（试行）,,58,58,深圳市科技创新委员会关于公布深圳市2022年第3批科技计划项目验收结果的通知; 深圳市科技创新委员会关于公布深圳市2021年第5批科技计划项目验收结果的通知; 深圳市科技创新委员会关于公布深圳市2021年第5批科技计划项目验收结果的通知,municipal,measures,unverified,
