priority,name_en,name_cn,admin_level,why_wanted,candidate_url,policy_section_url,likely_status,needs_browser_check
2,Chinese Academy of Sciences (CAS),中国科学院/中科院,central-research,"Apex national research system (AI/chip/quantum institutes). HQ notices + policy at cas.cn; huge but decentralized across institute subdomains.",https://www.cas.cn/,http://www.cas.ac.cn/tz/,not tried (static; many subdomains — scope to HQ 通知/政策),no
2,National Medical Products Administration (NMPA),国家药品监督管理局/药监局,central-agency,"Approves AI-enabled medical devices (AI辅助诊断) + drug/device regulation. Where health-AI meets regulation.",https://www.nmpa.gov.cn/,https://www.nmpa.gov.cn/ (法规文件/公告通告),not tried (recheck reachability + CMS),yes
2,"Min. of Human Resources & Social Security (MOHRSS)",人力资源和社会保障部,central-ministry,"On /structure chart, uncrawled. Labor/AI-and-jobs policy, professional-title schemes for AI engineers, social security. Found static-looking xxgk2020 index.",https://www.mohrss.gov.cn/,https://www.mohrss.gov.cn/xxgk2020/fdzdgknr/zcfg/gfxwj/index_41.html,SPA per coverage §9 (987B shell) BUT xxgk2020 index_41.html looks paginated-static — RECHECK,yes
2,National Health Commission (NHC),国家卫生健康委员会/卫健委,central-ministry,"On chart, uncrawled. AI-in-healthcare, medical big-data, hospital informatization policy. Mirrors already-crawled Shenzhen 卫健委.",http://www.nhc.gov.cn/,http://www.nhc.gov.cn/wjw/gfxwj/list.shtml,not tried,yes
2,Anhui Province / Hefei,安徽省 / 合肥市,provincial/city,"Quantum + AI + big-science hub (科学岛, 讯飞, 量子). Major AI/tech province entirely absent. Datacenter-IP anti-bot (403) from droplet.",https://www.ah.gov.cn/,https://www.ah.gov.cn/ (政策文件),datacenter-blocked/anti-bot 403 per coverage §11 (tested false on headers),yes
2,Sichuan Province / Chengdu,四川省 / 成都市,provincial/city,"Chengdu = western tech/AI + chip-packaging hub. Province hard-blocked (Errno 101) from droplet NYC IP.",https://www.sc.gov.cn/,https://www.sc.gov.cn/ (政策文件),datacenter-BLOCKED per coverage §5/§13,yes
2,Shaanxi Province / Xi'an,陕西省 / 西安市,provincial/city,"Xi'an = major semiconductor cluster (Samsung fab, 三星, 中兴). Province hard-blocked from droplet.",https://www.shaanxi.gov.cn/,https://www.shaanxi.gov.cn/ (政策文件),datacenter-BLOCKED per coverage §5,yes
2,Tianjin Municipality,天津市,provincial,"Direct-controlled municipality (province-rank), advanced-manufacturing/AI. Reachable but Hanweb datacall client-rendered lists.",https://www.tj.gov.cn/,https://www.tj.gov.cn/ (政务/政策 sections),SPA/Hanweb datacall per coverage §12 (browser network inspection needed),yes
3,State Admin of Science Tech & Industry for Natl Defense (SASTIND),国家国防科技工业局,central-agency,"Defense S&T, semiconductors, space, dual-use industry. High tech-policy value but likely sensitive/geo-fenced.",http://www.sastind.gov.cn/,http://www.sastind.gov.cn/ (政策法规),not tried (recheck; may be blocked/sensitive),yes
3,China Electronics Standardization Institute (CESI),中国电子技术标准化研究院,central-standards,"MIIT institute; AI standardization white papers + is TC260 secretariat host. Overlaps TC260 — lower marginal value.",http://www.cesi.cn/,http://www.cesi.cn/ (标准化/研究),not tried,no
3,Chinese Academy of Engineering (CAE),中国工程院,central-research,"Engineering academy; strategic AI/manufacturing consultative reports. Lower doc volume than CAS/CAICT.",https://www.cae.cn/,https://www.cae.cn/ (院士建言/咨询),not tried,no
3,State Administration of Foreign Exchange (SAFE),国家外汇管理局,central-agency,"FX/capital-flow policy; economic but low AI/tech density.",https://www.safe.gov.cn/,https://www.safe.gov.cn/ (政策法规),not tried,no
3,Ministry of Public Security (MPS),公安部,central-ministry,"On chart, uncrawled. Data-security enforcement, surveillance/facial-recognition, cybercrime — some AI-governance relevance but mostly policing.",https://www.mps.gov.cn/,https://www.mps.gov.cn/ (政策文件),not tried,yes
3,Ministry of Justice (MOJ),司法部,central-ministry,"On chart, uncrawled. Drafts administrative regulations (立法) incl. tech/data rules; legal-aid, lawyer reg.",http://www.moj.gov.cn/,http://www.moj.gov.cn/pub/sfbgw/flfggz/ (法律法规规章),not tried,no
3,"Ministry of Housing & Urban-Rural Development (MOHURD)",住房和城乡建设部,central-ministry,"On chart, uncrawled. Smart-city/新城建 + construction-data policy; some digital-economy relevance.",https://www.mohurd.gov.cn/,https://www.mohurd.gov.cn/gongkai/zhengce/ (政策),not tried,no
3,Ministry of Emergency Management (MEM),应急管理部,central-ministry,"On chart, uncrawled. Workplace/industrial safety, disaster tech. Low AI density.",https://www.mem.gov.cn/,https://www.mem.gov.cn/gk/gwgg/ (公文公告),not tried,no
3,Ministry of Civil Affairs (MCA),民政部,central-ministry,"On chart, uncrawled. NGOs, social assistance, elder-care tech. Low AI/tech density.",https://www.mca.gov.cn/,https://www.mca.gov.cn/n/ (政策法规),not tried,no
3,National Audit Office (CNAO),审计署,central-ministry,"On chart, uncrawled. Audits SOEs/central agencies. Low AI/tech density.",https://www.audit.gov.cn/,https://www.audit.gov.cn/ (政策法规),not tried,no
3,Qiushi,求是网,media,"CCP's flagship theoretical journal; signals top party line on tech/economy. Context/interpretation value.",http://www.qstheory.cn/,http://www.qstheory.cn/ (theory/policy articles),not tried,no
3,Leiphone,雷峰网,media,"AI/robotics tech media (peer of 机器之心/量子位). Low-friction WP-style; secondary to Jiqizhixin.",https://www.leiphone.com/,https://www.leiphone.com/category/ai,not tried,no
3,Huxiu,虎嗅网,media,"Tech-business commentary; flagged in coverage §10 as low-friction WP/RSS media target.",https://www.huxiu.com/,https://www.huxiu.com/ (article feed),not tried,no
3,Central Financial Commission,中央金融委员会,party,"Party commission (2023) over financial regulation. Context-only on chart — no dedicated public doc-publishing site (works through NFRA/PBOC).",,,no public doc site (context-only),no
3,Central Science & Technology Commission,中央科技委员会,party,"Party commission (2023) setting S&T strategy. Context-only — MOST (already crawled) serves as its office; no separate site.",,,no public doc site (context-only; MOST=office),no
